User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""A stooped posture""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""A bone that breaks much more easily than expected""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed I'm getting shorter as I get older""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My back hurts constantly and I'm starting to hunch over""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I broke my wrist just by tripping on the carpet""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a sharp pain in my spine that won't go away""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My posture has become very bent forward""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fragile feeling in my bones""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent neck pain and a rounded upper back""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fractured a rib just from a forceful cough""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Weakness in my grip and general bone soreness""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Recurrent fractures in the hips or spine""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Limited mobility due to bone fragility""",Osteoporosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Burning stomach pain""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling of fullness, bloating, or belching""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Intolerance to fatty foods""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Heartburn and nausea""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a gnawing pain in my stomach that gets better if I drink milk""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""The pain in my belly is worse at night when I'm empty""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely bloated and sick after eating""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed my stools are very dark, almost like tar""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent heartburn that feels like a fire in my chest""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm losing weight because it hurts too much to eat""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Vomiting blood or something that looks like coffee grounds""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""A dull, hungry ache in the middle of my stomach""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent burping and stomach acid reflux""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Sharp pain that radiates to my back""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling faint or anemic along with stomach pain""",Peptic Ulcer Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Clouded, blurred, or dim vision""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Increasing difficulty with vision at night""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Sensitivity to light and glare""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Need for brighter light for reading and other activities""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Seeing 'halos' around lights""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Everything looks like I'm looking through a foggy window""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having a lot of trouble driving at night because of the glare""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Colors look faded or yellowish to me now""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""I see double vision in just one of my eyes""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""I keep needing to change my eyeglass prescription""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""The streetlights have big circles or halos around them""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""I need a very bright lamp just to read a book""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""My vision is getting cloudier every month""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty recognizing faces even with my glasses on""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""General dimness of vision that makes tasks hard""",Cataract,,,,,,,,,,,,,,,,,,,,,,,,
"""Joint pain and stiffness""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Tenderness and loss of flexibility""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Grating sensation or crepitus in joints""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Bone spurs or hard lumps around the joint""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""My knees crack and pop whenever I stand up""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""The joints in my fingers feel very stiff and knobby""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my hips that gets worse after a long walk""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""My back feels very stiff after sitting for a long time""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost range of motion in my shoulder""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling and tenderness in my big toe joint""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""It feels like my bones are rubbing together""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Stiffness in the morning that goes away within 30 minutes""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Deep, aching pain in the lower back""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Weather changes make my joint pain much worse""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty gripping things because of hand pain""",Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Tender, warm, swollen joints""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Joint stiffness that is usually worse in the mornings""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue, fever, and loss of appetite""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Symmetrical joint pain""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""My knuckles are red, swollen, and very painful to touch""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up and my hands are stiff for hours""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""The same joints on both my hands and feet are hurting""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel constantly exhausted and have a low-grade fever""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed firm lumps under the skin on my arms""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints feel hot and look puffy""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm losing weight and feel generally very unwell""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty performing simple tasks like buttoning a shirt""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Dry eyes and a dry mouth along with joint pain""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent inflammation that doesn't go away with rest""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""My feet feel like I'm walking on stones""",Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,,,,,,
"""Red patches of skin covered with thick, silvery scales""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Small scaling spots""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Dry, cracked skin that may bleed""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Itching, burning, or soreness""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Thickened, pitted, or ridged nails""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have these silver, scaly patches on my elbows and knees""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""My scalp is very itchy and has flaky white patches""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have painful cracks in my skin that sometimes bleed""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""My fingernails look yellowish and are crumbling""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a red, angry-looking rash in my skin folds""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints are starting to feel stiff and painful""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Raised, red, inflamed lesions on my back""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Burning sensation on my skin like a bad sunburn""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Plaques of skin that feel very dry and tight""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Dandruff-like flakes but the skin underneath is very red""",Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Whiteheads or closed plugged pores""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Blackheads or open plugged pores""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Small red, tender bumps""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Pimples or pustules with pus at the tips""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Large, solid, painful lumps under the skin or nodules""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a lot of painful, deep cysts on my jawline""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""My face is very oily and covered in blackheads""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""I have red bumps on my back and shoulders""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""These pimples are leaving scars and dark spots on my skin""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""I have clusters of small white bumps on my forehead""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin feels very tender and inflamed""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent breakouts that won't go away with over-the-counter cream""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful, pus-filled sores on my chest""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm embarrassed by the redness and bumps on my face""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Pores look enlarged and clogged all the time""",Acne Vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
"""Feelings of sadness, tearfulness, emptiness, or hopelessness""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of interest or pleasure in most or all normal activities""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""Sleep disturbances, including insomnia or sleeping too much""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""Tiredness and lack of energy""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""Reduced appetite and weight loss or increased cravings and weight gain""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""I don't feel like doing anything I used to enjoy""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I'm moving through a fog all the time""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm crying for no reason and feel completely hopeless""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't concentrate or make simple decisions anymore""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up at 3 AM and can't get back to sleep""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel worthless and guilty about things that aren't my fault""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""My body feels heavy and I have no motivation to get out of bed""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been eating way more than usual to cope with my feelings""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent unexplained aches and pains""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""Thoughts that life isn't worth living anymore""",Depression,,,,,,,,,,,,,,,,,,,,,,,,
"""Loud snoring""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""Episodes in which you stop breathing during sleep""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""Gasping for air during sleep""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""Awakening with a dry mouth""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""Morning headache""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""My partner says I stop breathing for a few seconds when I sleep""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up choking or gasping for breath in the middle of the night""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely tired during the day no matter how much I sleep""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull headache every single morning when I wake up""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having a lot of trouble staying focused at work""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""I fall asleep as soon as I sit down to watch TV""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""I've become very irritable and moody lately""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""My throat feels very sore and dry every morning""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent nighttime urination and restless sleep""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""Waking up feeling unrefreshed and sluggish""",Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe, sharp pain in the side and back, below the ribs""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain that radiates to the lower abdomen and groin""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain that comes in waves and fluctuates in intensity""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain or burning sensation while urinating""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pink, red, or brown urine""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""I have an agonizing pain in my back that moves down to my front""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel nauseous and I'm vomiting because the back pain is so bad""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""I have to pee constantly and it only comes out in tiny drops""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""My urine looks cloudy and smells very bad""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""I can't find a comfortable position because the side pain is so sharp""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some blood in my pee after a bad bout of pain""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Chills and fever along with severe lower back pain""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden, intense cramping in the kidney area""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain that gets worse when I drink a lot of water""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling like I need to move around to ease the pain""",Kidney Stones (Nephrolithiasis),,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""Increased sensitivity to cold""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""Constipation""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""Dry skin""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""Weight gain""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel sluggish and cold even when others are warm""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""My face looks puffy and my hair is thinning out""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm gaining weight even though I'm not eating more""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart rate feels very slow and I'm always tired""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""My muscles feel weak and my joints are aching""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling depressed and my memory is foggy""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""My periods have become much heavier than usual""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin is very pale, dry, and itchy""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a hoarse voice and my neck feels a bit swollen""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""Brittle fingernails and a general lack of energy""",Hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal pain, cramping, or bloating""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Changes in appearance of bowel movement""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Changes in how often you have a bowel movement""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Excess gas""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Mucus in the stool""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach always hurts but it feels better after I go to the bathroom""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""I suffer from alternating diarrhea and constipation""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely bloated and gassy after every meal""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""The pain in my stomach is triggered by stress""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a constant urgent need to run to the bathroom""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed clear or white slime in my poop""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach feels like it's in knots most days""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent intestinal gurgling and cramping""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling like I haven't completely finished a bowel movement""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Intolerance to certain foods like dairy or wheat""",Irritable Bowel Syndrome (IBS),,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling in the veins of the scrotum""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""A lump in one of the testicles""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling in the scrotum""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""Visibly enlarged or twisted veins in the scrotum""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""A dull, recurring pain in the scrotum""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""One side of my scrotum looks like it has a bag of worms in it""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my testicle that gets worse when I stand up""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""The pain in my groin feels better when I lie down on my back""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed one of my testicles is smaller than the other""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""There is a painless lump on top of my left testicle""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble with fertility and the doctor mentioned my veins""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""A heavy dragging sensation in my scrotum""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""Visible swelling that gets larger throughout the day""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""Sharp or dull discomfort in the testicular area""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""Heat or sweating around the scrotal sac""",Varicocele,,,,,,,,,,,,,,,,,,,,,,,,
"""Widespread muscle pain and tenderness""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""Sleep, memory, and mood issues""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""Cognitive difficulties""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain on both sides of the body and above and below the waist""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""I ache all over, from my head to my toes, all the time""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm exhausted even after sleeping for ten hours""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having a lot of trouble focusing and remembering things""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin is very sensitive to even a light touch""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have frequent tension headaches and jaw pain""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel stiff all over when I first wake up""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""My hands and feet feel tingly or numb sometimes""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling very anxious and depressed because of the constant pain""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful periods and irritable bowel symptoms""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""Dull, constant ache that has lasted for more than three months""",Fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,
"""Dizziness and a sensation that you or your surroundings are spinning""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of balance or unsteadiness""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Ringing in the ears or tinnitus or hearing loss""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like the whole room is spinning when I tilt my head""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""I’ve lost my balance and feel like I’m going to fall over""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden dizziness that makes me feel sick to my stomach""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I'm on a boat even though I'm standing still""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Nystagmus or involuntary eye movements""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling of fullness in the ear and spinning""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""I get a sudden dizzy spell when I roll over in bed""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Everything around me is whirling and I can't walk straight""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Lightheadedness accompanied by a loud ringing in my ears""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe unsteadiness and persistent nausea""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Blurred vision and a feeling of being off-balance""",Vertigo,,,,,,,,,,,,,,,,,,,,,,,,
"""Bright red blood after a bowel movement""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Itching or irritation in the anal region""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain, discomfort, or swelling around the anus""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""A lump near the anus which may be sensitive or painful""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some bright red blood on the toilet paper""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""It feels very itchy and swollen down there""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a painful lump near my anus that makes sitting hard""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""There is a sharp pain whenever I have a bowel movement""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a strange pressure or fullness in my rectal area""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent irritation and a small amount of mucus discharge""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Fecal leakage or trouble cleaning after going to the bathroom""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Protruding tissue that needs to be pushed back in""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Throbbing pain in the groin area when standing for a long time""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Hard, tender swelling around the anal opening""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Severe itching that won't go away with cream""",Hemorrhoids (Piles),,,,,,,,,,,,,,,,,,,,,,,,
"""Shoulder pain, usually a dull or aching pain""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain when you move your arm""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Limited range of motion or stiffness in the shoulder""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty reaching behind the back or overhead""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""My shoulder is so stiff I can't even put on my jacket""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my shoulder that's worse at night""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Shoulder pain, usually a dull or aching pain""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain when you move your arm""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Limited range of motion or stiffness in the shoulder""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty reaching behind the back or overhead""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""My shoulder is so stiff I can't even put on my jacket""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my shoulder that's worse at night""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""I can't lift my arm high enough to brush my hair""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""My shoulder feels like it's stuck or frozen in place""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain that radiates down into my upper arm""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost the ability to reach into my back pocket""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
"""The joint feels very tight and movement is restricted""",Frozen Shoulder (Adhesive Capsulitis),,,,,,,,,,,,,,,,,,,,,,,,
